X,Y,Nr_Id,Specia,Diametru,Inaltime,Stare_Viab,Grad_Intre,Risc,Protejat,Data,Tip,Sp_Verde,Localitate,Strada,icon_url
24.2665691684679,45.667151453035,"949",Tuia,"3","1,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665597432806,45.6671490973898,"950",Tuia,"3","1,6","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665492204245,45.667147244666,"951",Tuia,"3","1,6","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665379669027,45.6671456422314,"952",Tuia,"3","1,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665281880745,45.667142519321,"953",Tuia,"3","1,9","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665198538801,45.6671401706977,"954",Tuia,"4","2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266511694838,45.667138333192,"955",Tuia,"3","1,9","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665048052775,45.6671367588558,"956",Tuia,"5","2,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664970082294,45.6671350511776,"957",Tuia,"4","2,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266487753189,45.6671335891051,"958",Tuia,"4","2,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664821448013,45.66713138553,"959",Tuia,"3","2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664761543797,45.6671305819676,"960",Tuia,"4","2,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664680053612,45.6671279795379,"961",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664584117119,45.6671246028189,"962",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664518841475,45.6671231583083,"963",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664427992504,45.6671225898107,"964",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664346435538,45.6671204973258,"965",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664263060263,45.6671184036694,"966",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664190528076,45.6671168269859,"967",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663479800919,45.6670174311229,"968",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663632071433,45.6670210991303,"969",Tuia,"6","3,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663788179033,45.6670232396362,"970",Tuia,"7","3,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663911523615,45.6670256140338,"971",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664052817494,45.6670297849563,"972",Tuia,"8","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664212595164,45.6670316728248,"973",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664346949871,45.6670332893233,"974",Tuia,"5","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664466691278,45.6670354063993,"975",Tuia,"7","3,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266463030602,45.6670357667623,"976",Tuia,"7","3,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664804296209,45.6670402137267,"977",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664924137852,45.6670415658771,"978",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665032902619,45.6670441858688,"979",Tuia,"8","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665156280701,45.6670463052794,"980",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266528326202,45.667048682004,"981",Tuia,"5","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665417616799,45.6670502984898,"982",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665533621461,45.6670531781338,"983",Tuia,"7","3,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665678886139,45.6670548016416,"984",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266580226427,45.6670569210452,"985",Tuia,"6","3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665925575616,45.6670595503947,"986",Tuia,"5","2,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2666081516431,45.6670629657373,"987",Tuia,"5","2,6","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2666219340918,45.6670658594233,"988",Tuia,"4","2,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664381883834,45.6675439395519,"989",Tei,"62","5,2","4","3",Nu,Nu,26 iulie- 10 august,Foioasa,"730",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2664677096374,45.6674836958264,"990",Tei,"56","5,5","4","3",Nu,Nu,26 iulie- 10 august,Foioasa,"730",Talmaciu,Strada Nicolae Balcescu,./0.png
